CustomerID,Lookalikes
C0001,"['Customer ID: C0181, Similarity Score: 0.9591702814458859', 'Customer ID: C0190, Similarity Score: 0.9197552870589011', 'Customer ID: C0192, Similarity Score: 0.9046802125391733']"
C0002,"['Customer ID: C0088, Similarity Score: 0.9397339129691135', 'Customer ID: C0106, Similarity Score: 0.9342318918489382', 'Customer ID: C0134, Similarity Score: 0.8641158466870145']"
C0003,"['Customer ID: C0195, Similarity Score: 0.8370071173477016', 'Customer ID: C0052, Similarity Score: 0.8164914462739823', 'Customer ID: C0031, Similarity Score: 0.7964378241869743']"
C0004,"['Customer ID: C0087, Similarity Score: 0.8973897095457801', 'Customer ID: C0153, Similarity Score: 0.8548037922315894', 'Customer ID: C0165, Similarity Score: 0.830218561113886']"
C0005,"['Customer ID: C0186, Similarity Score: 0.9833343750031277', 'Customer ID: C0146, Similarity Score: 0.8979079241157379', 'Customer ID: C0140, Similarity Score: 0.8882838427806229']"
C0006,"['Customer ID: C0168, Similarity Score: 0.9199353817753253', 'Customer ID: C0171, Similarity Score: 0.887538720514234', 'Customer ID: C0011, Similarity Score: 0.8545900006090055']"
C0007,"['Customer ID: C0115, Similarity Score: 0.9707057465354999', 'Customer ID: C0146, Similarity Score: 0.9057394095238647', 'Customer ID: C0005, Similarity Score: 0.8855248046038341']"
C0008,"['Customer ID: C0065, Similarity Score: 0.8109809874346099', 'Customer ID: C0189, Similarity Score: 0.7345177662748148', 'Customer ID: C0038, Similarity Score: 0.7180114529747791']"
C0009,"['Customer ID: C0103, Similarity Score: 0.9436548748417978', 'Customer ID: C0198, Similarity Score: 0.8031500894567116', 'Customer ID: C0061, Similarity Score: 0.7830334630064761']"
C0010,"['Customer ID: C0111, Similarity Score: 0.9617279106896874', 'Customer ID: C0062, Similarity Score: 0.9276057963962347', 'Customer ID: C0149, Similarity Score: 0.6277169253162141']"
C0011,"['Customer ID: C0153, Similarity Score: 0.9144832993789698', 'Customer ID: C0191, Similarity Score: 0.910737830302236', 'Customer ID: C0126, Similarity Score: 0.9041282867619882']"
C0012,"['Customer ID: C0113, Similarity Score: 0.9355396066783478', 'Customer ID: C0104, Similarity Score: 0.9115105586127532', 'Customer ID: C0195, Similarity Score: 0.8362344566834183']"
C0013,"['Customer ID: C0099, Similarity Score: 0.9836638095442659', 'Customer ID: C0108, Similarity Score: 0.917070049841995', 'Customer ID: C0107, Similarity Score: 0.8261304788194412']"
C0014,"['Customer ID: C0060, Similarity Score: 0.9615767991056317', 'Customer ID: C0097, Similarity Score: 0.8013884907801334', 'Customer ID: C0121, Similarity Score: 0.7272215649931633']"
C0015,"['Customer ID: C0131, Similarity Score: 0.948396474746985', 'Customer ID: C0125, Similarity Score: 0.8521770176360896', 'Customer ID: C0116, Similarity Score: 0.7660802160249308']"
C0016,"['Customer ID: C0042, Similarity Score: 0.9335665441066389', 'Customer ID: C0183, Similarity Score: 0.8226273607339442', 'Customer ID: C0058, Similarity Score: 0.750993881747299']"
C0017,"['Customer ID: C0075, Similarity Score: 0.9278166856093885', 'Customer ID: C0041, Similarity Score: 0.8603502331427186', 'Customer ID: C0057, Similarity Score: 0.8139207633214451']"
C0018,"['Customer ID: C0117, Similarity Score: 0.8780178225003882', 'Customer ID: C0046, Similarity Score: 0.829388325980689', 'Customer ID: C0122, Similarity Score: 0.7234470475702668']"
C0019,"['Customer ID: C0081, Similarity Score: 0.8813650321155959', 'Customer ID: C0121, Similarity Score: 0.7547887045699877', 'Customer ID: C0132, Similarity Score: 0.7195073218155392']"
C0020,"['Customer ID: C0026, Similarity Score: 0.8368534260536732', 'Customer ID: C0050, Similarity Score: 0.7772306833307596', 'Customer ID: C0130, Similarity Score: 0.6734444656870415']"
